42,85FC91F6A7F1025D3E7AE7AF23C4604FA9B0915C2425DAECC9694FEAAEDE00E5,20,100.0,22,331321AF5E3E9F0431C0587D59406788E2E51A8AEBEC6A61ACF90D5E210C0EAD
39,583E593505245B9E1D57A3633A38814658FB2035356162D7AAE9067907142411,20,100.0,22,7519623E02084807A68659779C47F482098CEC782E19879A939900357731C09A
38,345B7DB53DC90569CEA685EC11C6E3FE39B458AD00EE4522B3A64E8AC9CCEE6E,20,250000.0,22,583E593505245B9E1D57A3633A38814658FB2035356162D7AAE9067907142411
37,A11876835F71DD4EF0D9C7E3AF7314FC83C31980A3F2A73BE52E3EDD65929755,20,1000000.0,22,345B7DB53DC90569CEA685EC11C6E3FE39B458AD00EE4522B3A64E8AC9CCEE6E
35,448AAAC525538A32CDEA5D8E5BE202227E221F51075ED5AF66B4D5F8E8F509C6,20,1000.0,22,C7668CA8DD85A21CA5AC383394CAF9D60582A1443C89BB46EB00FED49D2457C5
28,CEB00ADCE76362B56ECA2C7485864806DC8758BF211E210D45EF1E38198A326B,22,400.0,-1,46993448EB52AB6F4D2C3D0100D6073C6AF1F8D464616BC392C1E5CA5D30277A
26,B526AD5E0B2E67A0E4C888AD4617FAD0DDBCED4C1E0BA6EB1019A47AE7CE7604,20,10000.0,22,9EB637CB71D307DBDDD53C9119B3C8301815952CC48B43EC8C2A988113A9BBB1
24,294F6DB22CF874A18BF4C01E59C241C9AFEAB37B53AE28D850D3098F0183E16B,22,32.0,-1,5F009186B7C9AE21DA94D59946D3D6CF6C46B7119D4BE4D041A2FA2B9FC7DBB2
17,2ADD60C3BC99DBA5CDD88846E83D290FACDD4A4CCB0EB46A2DD47BD4B3DED34F,22,2000.0,20,5C59EE98D03A54ABCE0750C5320672AC0365ACDD7FE1BAF5C2B2A32089986755
16,A4C41D60B4D6933480CB9200FE77C1919CA657E502845D9798A151A0170C4E50,20,232.0,22,2ADD60C3BC99DBA5CDD88846E83D290FACDD4A4CCB0EB46A2DD47BD4B3DED34F
14,6A7295629EBBEDA7A4A0B4F90B1F5CC1948C4F09EFEC9DAD7CCC854B15509EB6,14,100.0,22,6B7725204CDFEB904003B4B538DBC7743071E1451EE3453445A8A4EC73130139
13,B84969C00A1D88DD9F2C8A4C599B84E63578F255CE649DCB6CA7BD436CD95460,14,100.0,22,6A7295629EBBEDA7A4A0B4F90B1F5CC1948C4F09EFEC9DAD7CCC854B15509EB6
12,AD4F0DE8D0FB59577785187C8A591E122528BF7BF013B1C7970EC252AF16DDE6,14,1000.0,22,B84969C00A1D88DD9F2C8A4C599B84E63578F255CE649DCB6CA7BD436CD95460
11,16DF9BE9DD41949ECE9C1E62254818D9628783EEEEEA2EE1CE08AAD12DEEEF93,14,1000.0,22,AD4F0DE8D0FB59577785187C8A591E122528BF7BF013B1C7970EC252AF16DDE6
