0,root,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,root,0
3,Jorge Rafael,716A3EF91ADCEABFC44435FF688D87FBDB9B6AE45F392DE47244177DAFE9EB06,cliente,10/7/2001,100003,0.0,1299129,null
8,Roberto Carlos,D376881F5BD00764C32B8645A0F7966BC86EC3D3EA0E7B51E830E5F12AAE3071,funcionario,-1
9,Jose Almeida,995E6D18FD6DD12D54EA1291649769DDE86B36EE70193E3142FDC07AAA765D00,funcionario,-1
12,Chris Almeida,FA88D374B9CF5E059FAD4A2FE406FEAE4C49CBF4803083EC521D3C75EE22557C,funcionario,-1
14,Gabriel da Luz,6B86B273FF34FCE19D6B804EFF5A3F5747ADA4EAA22F1D49C01E52DDB7875B4B,funcionario,-1
15,Samuel Reis,122961871D9F94BE9A62259AF5DECBDEBD96347B4CE91D4FB5FBF26E57A1A7D2,funcionario,-1
16,Jose Santos,A2A4F4149655E7999827D0C89666B991989E14026C43E4884B1A69B6787ED852,funcionario,-1
17,Jose Santos,27BC6C510E13B8FE0D356DAA92ED97B035FA833F68176CCFD451EF206316A38C,cliente,20/10/1977,100006,0.0,12345678,null
18,Tom Silva,A63A00267DFDB266103B8DB66E5F8CB69E68551FEC6B366DC3E3E7DCA088800B,cliente,12/3/1990,100007,0.0,1234567,null
19,Samuel Moreira,957B0D9447B1490029BFAD564EF9E413DB71D0353D0CE26F9DC43DCE1308C17E,cliente,10/1/2022,100008,0.0,234321234,null
20,Arlindo Nascimento da Luz,9AF15B336E6A9619928537DF30B2E6A2376569FCF9D7E773ECCEDE65606529A0,cliente,6/1/2022,100009,0.0,765432111,null
22,Jaime Fonseca,9AF15B336E6A9619928537DF30B2E6A2376569FCF9D7E773ECCEDE65606529A0,cliente,8/6/1981,100011,0.0,7654321,null
